127.0.0.1 - - [10/Dec/2025:15:28:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:02:04 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:02:31 +0530] "GET /QuizPortal/user/login.jsp HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:03:16 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:03:16 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:17:41 +0530] "GET /QuizPortal/admin/questionList.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:17:41 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:18:06 +0530] "GET /QuizPortal/admin/addQuestion.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:18:06 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:37:57 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:37:57 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:38:40 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 200 5642
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:39:42 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 200 5642
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:41:37 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:41:37 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:06 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:06 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:16 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:16 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:41 +0530] "GET /QuizPortal/admin/quizManager HTTP/1.1" 200 6631
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:44 +0530] "GET /QuizPortal/admin/questionList HTTP/1.1" 200 11376
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:47 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:49 +0530] "GET /QuizPortal/admin/createQuiz HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:53 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:57 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:09:58 +0530] "GET /QuizPortal/admin/createQuiz HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:14:45 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:14:56 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:14:58 +0530] "GET /QuizPortal/user/login HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:15:24 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:15:40 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:16:26 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:17:32 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:17:42 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:17:52 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:18:16 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 200 5642
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:18:28 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:18:28 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:18:33 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:18:35 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:18:46 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 200 5642
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:20:31 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:20:41 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:20:44 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:20:52 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:20:52 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:35:56 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:36:08 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:36:10 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5551
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:38:01 +0530] "GET /QuizPortal/admin/login.jsp HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:38:46 +0530] "GET /QuizPortal/admin/login.jsp HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:46:50 +0530] "GET /QuizPortal/admin/login.jsp HTTP/1.1" 200 4985
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:54:58 +0530] "GET /QuizPortal/admin/login.jsp HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:56:59 +0530] "GET /QuizPortal/admin/login.jsp HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:58:35 +0530] "GET /QuizPortal/admin/questionList.jsp HTTP/1.1" 200 6420
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:58:59 +0530] "GET /QuizPortal/admin/addQuestion.jsp HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:59:16 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:59:17 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:59:19 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [10/Dec/2025:17:59:33 +0530] "GET /QuizPortal/admin/createQuiz.jsp HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:00:22 +0530] "GET /QuizPortal/admin/createQuiz.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:00:22 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:00:41 +0530] "GET /QuizPortal/admin/addQuestion.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:00:41 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:01:43 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:01:43 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:02:58 +0530] "GET /QuizPortal/admin/createQuiz.jsp HTTP/1.1" 200 6732
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:03:41 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:03:44 +0530] "GET /QuizPortal/admin/createQuiz HTTP/1.1" 200 7563
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:04:04 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [10/Dec/2025:18:04:05 +0530] "GET /QuizPortal/admin/createQuiz HTTP/1.1" 200 7563
